date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2005-06-01,DNK,DKK,Denmark,27.75,6.0647,4.57565914224941,24812.6381837838,2.89013051961988,1.06985,0.23906,0.39355,1.34573,1.68967
2005-06-01,EGY,EGP,Egypt,9,5.8,1.55172413793103,1850.64833333333,2.13025732359962,-0.04768,-0.42991,-0.35884,0.07926,0.2375
2005-06-01,EUZ,EUR,Euro area,2.92,0.814929509,3.58313199823029,22218.2153598821,2.80427418156443,0.67049,0,0.12468,0.89315,1.17072
2005-06-01,HKG,HKD,Hong Kong,12,7.7807,1.54227768709756,39943.20525,3.39084114744811,-0.40536,-0.64403,-0.59965,-0.3261,-0.22729
2005-06-01,HUN,HUF,Hungary,530,203.643,2.6025937547571,9181.96112377359,2.37286992457099,0.43395,-0.1416,-0.03457,0.62508,0.86335
2005-06-01,IDN,IDR,Indonesia,14600,9545,1.5295966474594,1798.30687471233,2.12852520579512,-0.06049,-0.43759,-0.36747,0.06473,0.22084
2005-06-01,JPN,JPY,Japan,250,106.715,2.34268846928735,42365.97876,3.47101715406893,-0.11761,-0.47178,-0.40592,0,0.14662
2005-06-01,MYS,MYR,Malaysia,5.25,3.8,1.38157894736842,8852.21588571429,2.36195777934541,-0.23527,-0.54222,-0.48514,-0.13335,-0.00628
2005-06-01,MEX,MXN,Mexico,28,10.8675,2.57648953301127,7396.76785714286,2.31379314063966,0.45581,-0.12851,-0.01986,0.64986,0.89176
2005-06-01,NZL,NZD,New Zealand,4.45,1.4023,3.17335805462455,20373.5352808989,2.74322882110651,0.51237,-0.09465,0.01822,0.71395,0.96526
2005-06-01,NOR,NOK,Norway,39,6.4326,6.06286726984423,23494.8282153846,2.84652068968107,1.78462,0.66695,0.87478,2.15577,2.61848
2005-06-01,PAK,PKR,Pakistan,130,59.62,2.18047635021805,860.586983076923,2.0974935654334,0.3591,-0.1864,-0.08497,0.54026,0.76609
2005-06-01,PER,PEN,Peru,8.99,3.2546,2.76224420819763,2155.95016685206,2.14036057168473,0.68724,0.01003,0.13596,0.91213,1.19249
2005-06-01,PHL,PHP,Philippines,80,54.55,1.46654445462878,1857.519375,2.13048470460733,-0.10005,-0.46127,-0.3941,0.0199,0.16944
2005-06-01,POL,PLN,Poland,6.5,3.3096,1.96398356296833,8798.19692307692,2.36017014848012,0.08792,-0.34874,-0.26755,0.23293,0.4137
2005-06-01,RUS,RUB,Russia,42,28.4055,1.47858689338332,6023.14882857143,2.26833644075638,-0.1478,-0.48985,-0.42625,-0.03421,0.10739
2005-06-01,SAU,SAR,Saudi Arabia,9,3.7501,2.39993600170662,11854.9939333333,2.46132767571956,0.27477,-0.23689,-0.14174,0.44468,0.6565
2005-06-01,SGP,SGD,Singapore,3.6,1.6607,2.16776058288673,29628.9135,3.04951385448251,-0.07064,-0.44366,-0.3743,0.05323,0.20765
2005-06-01,ZAF,ZAR,South Africa,13.95,6.6482,2.09831232514064,5889.06731182796,2.26389932745224,0.21176,-0.27461,-0.18417,0.37327,0.57462
